"AnyMaze_Test";"Animal";"Task";"Type";"Sampling";"Retention";"Apperatus";"Date";"Entry";"Time";"Familiar_Object";"Unfamiliar_Object";"Familiar_Position";"Unfamiliar_Position";"Retention_Check";"Notes";"Cum_dist_min_1";"Cum_dist_min_2";"Cum_dist_min_3";"Cum_dist_min_4";"Cum_dist_min_5";"Bin_dist_min_1";"Bin_dist_min_2";"Bin_dist_min_3";"Bin_dist_min_4";"Bin_dist_min_5";"Cum_velo_min_1";"Cum_velo_min_2";"Cum_velo_min_3";"Cum_velo_min_4";"Cum_velo_min_5";"Bin_velo_min_1";"Bin_velo_min_2";"Bin_velo_min_3";"Bin_velo_min_4";"Bin_velo_min_5";"Cum_BaLe_exp_1";"Cum_BaLe_exp_2";"Cum_BaLe_exp_3";"Cum_BaLe_exp_4";"Cum_BaLe_exp_5";"Bin_BaLe_exp_1";"Bin_BaLe_exp_2";"Bin_BaLe_exp_3";"Bin_BaLe_exp_4";"Bin_BaLe_exp_5";"BaLe_exp_Latency";"Cum_FrRi_exp_1";"Cum_FrRi_exp_2";"Cum_FrRi_exp_3";"Cum_FrRi_exp_4";"Cum_FrRi_exp_5";"Bin_FrRi_exp_1";"Bin_FrRi_exp_2";"Bin_FrRi_exp_3";"Bin_FrRi_exp_4";"Bin_FrRi_exp_5";"FrRi_exp_Latency";"Cum_BaLe_tim_1";"Cum_BaLe_tim_2";"Cum_BaLe_tim_3";"Cum_BaLe_tim_4";"Cum_BaLe_tim_5";"Bin_BaLe_tim_1";"Bin_BaLe_tim_2";"Bin_BaLe_tim_3";"Bin_BaLe_tim_4";"Bin_BaLe_tim_5";"Cum_BaRi_tim_1";"Cum_BaRi_tim_2";"Cum_BaRi_tim_3";"Cum_BaRi_tim_4";"Cum_BaRi_tim_5";"Bin_BaRi_tim_1";"Bin_BaRi_tim_2";"Bin_BaRi_tim_3";"Bin_BaRi_tim_4";"Bin_BaRi_tim_5";"Cum_FrLe_tim_1";"Cum_FrLe_tim_2";"Cum_FrLe_tim_3";"Cum_FrLe_tim_4";"Cum_FrLe_tim_5";"Bin_FrLe_tim_1";"Bin_FrLe_tim_2";"Bin_FrLe_tim_3";"Bin_FrLe_tim_4";"Bin_FrLe_tim_5";"Cum_FrRi_tim_1";"Cum_FrRi_tim_2";"Cum_FrRi_tim_3";"Cum_FrRi_tim_4";"Cum_FrRi_tim_5";"Bin_FrRi_tim_1";"Bin_FrRi_tim_2";"Bin_FrRi_tim_3";"Bin_FrRi_tim_4";"Bin_FrRi_tim_5";"Total_exp_time";"Bin_Trgt_exp_min_1";"Bin_Trgt_exp_min_2";"Bin_Trgt_exp_min_3";"Bin_Trgt_exp_min_4";"Bin_Trgt_exp_min_5";"Cum_Trgt_exp_min_1";"Cum_Trgt_exp_min_2";"Cum_Trgt_exp_min_3";"Cum_Trgt_exp_min_4";"Cum_Trgt_exp_min_5";"Bin_Cntl_exp_min_1";"Bin_Cntl_exp_min_2";"Bin_Cntl_exp_min_3";"Bin_Cntl_exp_min_4";"Bin_Cntl_exp_min_5";"Cum_Cntl_exp_min_1";"Cum_Cntl_exp_min_2";"Cum_Cntl_exp_min_3";"Cum_Cntl_exp_min_4";"Cum_Cntl_exp_min_5";"Bin_DiRa_min_1";"Bin_DiRa_min_2";"Bin_DiRa_min_3";"Bin_DiRa_min_4";"Bin_DiRa_min_5";"Cum_DiRa_min_1";"Cum_DiRa_min_2";"Cum_DiRa_min_3";"Cum_DiRa_min_4";"Cum_DiRa_min_5"
1;"Animal24-BE6-Test_OFA";"Schema";"Schema";1;"Sleep";"OFA";"11.04.2024";"B";"10:14";3;3;"R";"L";NA;NA;10,617;17,894;25,745;35,004;44,309;10,617;7,277;7,851;9,259;9,305;0,177;0,149;0,143;0,146;0,148;0,177;0,121;0,131;0,154;0,155;1,1;1,2;2,1;2,5;3,1;1,1;0,1;0,9;0,4;0,6;1,9;1;1,4;1,6;2,1;2,2;1;0,4;0,2;0,4;0,1;12,5;12,2;17,5;30,1;49,3;62,8;12,2;5,2;12,7;19,2;13,5;10,4;21,9;21,9;30,2;44;10,4;11,5;0;8,2;13,8;23,8;34,4;50,6;66,1;91,4;23,8;10,6;16,2;15,5;25,3;13,5;46,2;77,3;94,4;101,8;13,5;32,7;31,1;17,1;7,4;5,3;1,1;0,1;0,9;0,4;0,6;1,1;1,2;2,1;2,5;3,1;1;0,4;0,2;0,4;0,1;1;1,4;1,6;2,1;2,2;0,0476190476190477;-0,6;0,636363636363636;0;0,714285714285714;0,0476190476190477;-0,0769230769230769;0,135135135135135;0,0869565217391304;0,169811320754717
2;"Animal24-BE6-Test_OFA";"Schema";"Schema";2;"Sleep";"OFA";"11.04.2024";"L";"10:42";6;6;"R";"L";NA;NA;11,712;21,606;30,211;40,164;48,729;11,712;9,894;8,605;9,953;8,565;0,195;0,18;0,168;0,167;0,162;0,195;0,165;0,143;0,166;0,143;1,4;1,9;2,3;2,6;2,6;1,4;0,5;0,5;0,3;0;0,6;0,7;0,8;1;1;1,2;0,7;0,2;0,2;0;0,2;15,1;12,4;25,1;34,2;38,6;60,8;12,4;12,7;9,1;4,5;22,2;6,8;12,9;24,3;32,8;44;6,8;6,1;11,4;8,5;11,2;27,8;59,1;67,9;84,1;93,1;27,8;31,3;8,7;16,2;9;13;22,9;53,7;84,5;102,1;13;9,8;30,8;30,9;17,6;3,8;1,4;0,5;0,5;0,3;0;1,4;1,9;2,3;2,6;2,6;0,7;0,2;0,2;0;0,2;0,7;0,8;1;1;1,2;0,333333333333333;0,428571428571429;0,428571428571429;1;-1;0,333333333333333;0,407407407407407;0,393939393939394;0,444444444444444;0,368421052631579
3;"Animal24-BE6-Test_OFA";"Schema";"Schema";3;"Sleep";"OFA";"11.04.2024";"R";"11:07";4;4;"R";"L";NA;NA;10,547;19,425;25,787;36,281;44,899;10,547;8,878;6,363;10,493;8,618;0,176;0,162;0,143;0,151;0,15;0,176;0,148;0,106;0,175;0,144;0,5;1,1;1,1;1,3;1,7;0,5;0,6;0;0,2;0,5;10,1;0,9;1,3;1,5;1,5;1,6;0,9;0,4;0,2;0;0,1;3,8;8;22,6;27,5;41,6;52,3;8;14,6;4,9;14,1;10,8;16,1;28,4;34,4;48,2;56,9;16,1;12,3;6;13,9;8,6;21,9;38,5;77,2;90,2;119,3;21,9;16,6;38,7;13;29,1;13,9;30,5;40,9;60;71,5;13,9;16,5;10,4;19,1;11,5;3,3;0,5;0,6;0;0,2;0,5;0,5;1,1;1,1;1,3;1,7;0,9;0,4;0,2;0;0,1;0,9;1,3;1,5;1,5;1,6;-0,285714285714286;0,2;-1;1;0,666666666666667;-0,285714285714286;-0,0833333333333333;-0,153846153846154;-0,0714285714285714;0,0303030303030303
4;"Animal24-BE6-Test_OFA";"Schema";"Schema";4;"Sleep";"OFA";"11.04.2024";"F";"11:35";9;9;"R";"L";NA;NA;10,643;17,27;28,65;36,585;48,055;10,643;6,626;11,38;7,936;11,47;0,177;0,144;0,159;0,152;0,16;0,177;0,11;0,19;0,132;0,191;0,6;2,4;2,4;3,2;3,2;0,6;1,8;0;0,8;0;2,1;1,3;3,9;4,8;4,9;5,2;1,3;2,6;0,9;0,2;0,2;57,5;13,5;16,7;19,9;25;31,7;13,5;3,2;3,3;5,1;6,7;17,5;21,9;29;31,3;38,4;17,5;4,5;7,1;2,2;7,2;12,9;38,1;57,1;69,8;82,4;12,9;25,2;19;12,6;12,6;16,1;43,3;73,9;114;147,5;16,1;27,1;30,7;40,1;33,5;8,4;0,6;1,8;0;0,8;0;0,6;2,4;2,4;3,2;3,2;1,3;2,6;0,9;0,2;0,2;1,3;3,9;4,8;4,9;5,2;-0,368421052631579;-0,181818181818182;-1;0,6;-1;-0,368421052631579;-0,238095238095238;-0,333333333333333;-0,209876543209877;-0,238095238095238
5;"Animal24-BE6-Test_OFA";"Schema";"Schema";5;"Sleep";"OFA";"11.04.2024";"L";"12:01";2;2;"R";"L";NA;NA;7,907;17,194;25,32;37,177;45,073;7,907;9,286;8,126;11,856;7,896;0,132;0,143;0,141;0,155;0,15;0,132;0,155;0,135;0,198;0,132;1,8;1,8;1,8;1,9;3;1,8;0;0;0,2;1,1;0,5;0,7;1,1;1,3;1,9;2,1;0,7;0,3;0,2;0,6;0,2;32,9;36,4;50,5;57;71;87,3;36,4;14,1;6,5;14;16,3;9,4;22,8;27,2;37,7;54,2;9,4;13,4;4,3;10,5;16,5;9,1;37,6;69;80,3;84,7;9,1;28,5;31,4;11,3;4,4;5,1;9,1;26,8;51;73,8;5,1;3,9;17,7;24,2;22,9;5,1;1,8;0;0;0,2;1,1;1,8;1,8;1,8;1,9;3;0,7;0,3;0,2;0,6;0,2;0,7;1,1;1,3;1,9;2,1;0,44;-1;-1;-0,5;0,692307692307692;0,44;0,241379310344828;0,161290322580645;0;0,176470588235294
6;"Animal24-BE6-Test_OFA";"Schema";"Schema";6;"Sleep";"OFA";"11.04.2024";"F";"12:28";10;10;"R";"L";NA;NA;9,028;16,696;23,991;31,259;36,242;9,028;7,668;7,295;7,268;4,983;0,15;0,139;0,133;0,13;0,121;0,15;0,128;0,122;0,121;0,083;0,5;2,2;2,3;2,9;3,3;0,5;1,6;0,1;0,6;0,4;9,9;0,2;0,4;0,7;1,1;1,1;0,2;0,2;0,3;0,4;0;4,5;5,7;28,2;38,4;40,7;48,9;5,7;22,6;10,1;2,3;8,2;9,3;12,2;17,7;28;28;9,3;2,9;5,4;10,4;0;32,7;64,8;71,7;110,3;148,8;32,7;32,1;6,9;38,6;38,5;12,3;14,7;52,3;61;74,2;12,3;2,4;37,5;8,7;13,2;4,4;0,5;1,6;0,1;0,6;0,4;0,5;2,2;2,3;2,9;3,3;0,2;0,2;0,3;0,4;0;0,2;0,4;0,7;1,1;1,1;0,428571428571429;0,777777777777778;-0,5;0,2;1;0,428571428571429;0,692307692307692;0,533333333333333;0,45;0,5
7;"Animal24-BE6-Test_OFA";"Schema";"Schema";7;"Sleep";"OFA";"11.04.2024";"R";"12:52";1;1;"R";"L";NA;NA;5,761;15,135;24,357;30,925;38,471;5,761;9,374;9,222;6,568;7,546;0,096;0,126;0,135;0,129;0,128;0,096;0,156;0,154;0,109;0,126;0;0,5;0,7;0,7;0,7;0;0,5;0,3;0;0;86,8;1,3;1,5;1,7;1,7;1,7;1,3;0,2;0,2;0;0;0;3,5;15,8;21,6;24,1;32;3,5;12,3;5,8;2,5;7,9;22,9;30,5;39,4;39,4;49,4;22,9;7,6;8,8;0;10;13,5;37,3;52,8;103,5;143;13,5;23,8;15,5;50,6;39,5;20,1;36,4;66,2;73,1;75,7;20,1;16,3;29,8;6,9;2,6;2,4;0;0,5;0,3;0;0;0;0,5;0,7;0,7;0,7;1,3;0,2;0,2;0;0;1,3;1,5;1,7;1,7;1,7;-1;0,428571428571429;0,2;NA;NA;-1;-0,5;-0,416666666666667;-0,416666666666667;-0,416666666666667
8;"Animal24-BE6-Test_OFA";"Schema";"Schema";8;"Sleep";"OFA";"11.04.2024";"B";"13:21";8;8;"R";"L";NA;NA;9,125;15,348;20,649;29,546;39,348;9,125;6,223;5,301;8,897;9,802;0,152;0,128;0,115;0,123;0,131;0,152;0,104;0,088;0,148;0,163;1,4;1,4;1,7;1,7;2,8;1,4;0;0,3;0;1;17;0,4;0,4;0,4;0,4;1;0,4;0;0;0;0,5;22,4;19,5;56,1;91;117,6;137,2;19,5;36,6;34,9;26,6;19,6;9,3;12,1;12,4;22,3;27,2;9,3;2,9;0,3;9,9;4,8;18,1;23,1;46,4;55,8;79,4;18,1;4,9;23,3;9,3;23,6;13;28,7;30,2;44,3;56,3;13;15,6;1,5;14,1;12;3,8;1,4;0;0,3;0;1;1,4;1,4;1,7;1,7;2,8;0,4;0;0;0;0,5;0,4;0,4;0,4;0,4;1;0,555555555555556;NA;1;NA;0,333333333333333;0,555555555555556;0,555555555555556;0,619047619047619;0,619047619047619;0,473684210526316
9;"Animal25-DRD3-Test_OFA";"Schema";"Schema";1;"Sleep";"OFA";"11.04.2024";"F";"10:30";9;9;"L";"R";NA;NA;8,895;16,01;21,978;28,174;37,167;8,895;7,116;5,968;6,196;8,992;0,148;0,133;0,122;0,117;0,124;0,148;0,119;0,099;0,103;0,15;0,9;4,5;5,3;5,7;6,3;0,9;3,6;0,8;0,4;0,6;1,8;4,5;4,9;5,9;11,9;11,9;4,5;0,4;1;6;0;4,7;11;36,2;43,9;49,5;59,3;11;25,2;7,7;5,5;9,9;6,2;29,9;30,5;34,5;40;6,2;23,7;0,6;4;5,4;13,7;16,4;30,5;49,3;76,1;13,7;2,6;14,1;18,8;26,8;29,1;37,6;75,1;106,7;124,6;29,1;8,5;37,5;31,6;17,9;18,2;4,5;0,4;1;6;0;4,5;4,9;5,9;11,9;11,9;0,9;3,6;0,8;0,4;0,6;0,9;4,5;5,3;5,7;6,3;0,666666666666667;-0,8;0,111111111111111;0,875;-1;0,666666666666667;0,0425531914893617;0,0535714285714286;0,352272727272727;0,307692307692308
10;"Animal25-DRD3-Test_OFA";"Schema";"Schema";2;"Sleep";"OFA";"11.04.2024";"L";"10:56";1;1;"L";"R";NA;NA;8,212;16,345;21,046;26,125;28,97;8,212;8,133;4,702;5,079;2,846;0,137;0,136;0,117;0,109;0,097;0,137;0,136;0,078;0,085;0,047;0,4;1,2;1,2;1,2;1,2;0,4;0,8;0;0;0;10,5;1,3;2,2;2,3;2,6;2,6;1,3;0,8;0,2;0,2;0;19,1;5,3;9,6;18,4;20,8;41,7;5,3;4,2;8,9;2,4;20,8;11,9;30;40;45,6;45,6;11,9;18,1;10;5,6;0;22,9;56,7;94,9;125,3;164,5;22,9;33,8;38,2;30,4;39,2;19,9;23,8;26,7;48,2;48,2;19,9;3,9;2,9;21,5;0;3,8;1,3;0,8;0,2;0,2;0;1,3;2,2;2,3;2,6;2,6;0,4;0,8;0;0;0;0,4;1,2;1,2;1,2;1,2;0,529411764705882;0;1;1;NA;0,529411764705882;0,294117647058824;0,314285714285714;0,368421052631579;0,368421052631579
