Animal,Date,Type,Retention,SleepDuration,
Animal3-RD1-Test_OFA,Schema,Interference,Sleep,83.88,
Animal4-DRD-Test_OFA,Schema,Interference,Sleep,70.77,
Animal6-RD2-Test_OFA,Schema,Interference,Sleep,80.83,
Animal8-RD3-Test_OFA,Schema,Interference,Sleep,87.08,
Animal10-DRD2-Test_OFA,Schema,Interference,Sleep,68.07,
Animal12-GN4-Test_OFA,Schema,Interference,Sleep,69.53,
Animal14-DB-Test_OFA,Schema,Interference,Sleep,75.83,
Animal15-RD4-Test_OFA,Schema,Interference,Sleep,86.42,
Animal18-BE5-Test_OFA,Schema,Interference,Sleep,86.75,
Animal19-RD5-Test_OFA,Schema,Interference,Sleep,81.72,
Animal24-BE6-Test_OFA,Schema,Schema,Sleep,80.6,
Animal25-DRD3-Test_OFA,Schema,Schema,Sleep,68.32,
Animal26-GN8-Test_OFA,Schema,Schema,Sleep,81.85,
Animal27-RD6-Test_OFA,Schema,Schema,Sleep,93.45,
Animal28-GN9-Test_OFA,Schema,Schema,Sleep,66.97,
Animal29-DB4-Test_OFA,Schema,Schema,Sleep,78.7,
Animal30-RD7-Test_OFA,Schema,Schema,Sleep,76.22,
Animal31-BE7-Test_OFA,Schema,Schema,Sleep,90.07,
Animal32-DRD4-Test_OFA,Schema,Schema,Sleep,60.33,
Animal33-BE8-Test_OFA,Schema,Schema,Sleep,60.72,
