ID,condition,prelimbic,infralimbic,anterior_CG1,medial_CG1,medial_CG2,nucleus_reuniens,reticular_nucleus,anterior_retrosplenial_agranular,anterior_retrosplenial_granular,medial_retrosplenial_agranular,medial_retrosplenial_granular,posterior_retrosplenial_agranular,posterior_retrosplenial_granular,perirhinal,entorhinal,parietal,CA1dist,CA1prox,CA3,dentate
HC1,home_cage,910,464,401,300,107,108,8,262,566,159,597,277,431,113,53,461,49,62,33,27
HC2,home_cage,751,361,164,226,115,132,15,115,439,182,433,133,220,283,32,200,128,74,42,11
HC3,home_cage,160,177,35,45,28,21,2,25,77,44,67,34,22,79,5,118,8,13,4,7
HC4,home_cage,271,354,78,52,30,45,3,26,160,75,172,55,92,124,19,70,23,11,17,13
HC5,home_cage,164,67,56,60,22,22,6,56,226,48,101,31,42,26,6,92,7,4,5,8
HC6,home_cage,305,135,42,28,16,44,3,24,110,29,131,45,74,92,14,36,14,10,3,13
Animal24-BE6-Test_OFA,sleep,79,64,18,38,9,6,0,4,40,13,24,79,30,26,3,62,1,0,0,1
Animal25-DRD3-Test_OFA,sleep,456,325,51,91,28,16,1,23,116,31,112,108,68,133,38,113,0,1,2,1
Animal26-GN8-Test_OFA,sleep,331,163,112,118,24,18,0,76,240,120,223,76,99,52,12,430,3,9,5,2
Animal27-RD6-Test_OFA,sleep,257,187,67,79,19,18,0,30,80,54,190,58,39,72,76,121,2,4,3,7
Animal28-GN9-Test_OFA,sleep,389,249,45,108,38,37,4,33,151,50,150,87,65,100,14,235,9,18,7,12
Animal29-DB4-Test_OFA,sleep,421,301,101,70,43,18,1,19,170,57,121,26,32,NaN,NaN,288,2,3,1,2
Animal30-RD7-Test_OFA,sleep,221,163,61,149,76,25,0,11,131,27,153,27,35,33,4,43,1,5,2,2
Animal31-BE7-Test_OFA,sleep,590,237,109,203,83,47,1,68,314,70,139,80,66,161,24,147,3,12,9,6
Animal32-DRD4-Test_OFA,sleep,525,308,211,255,150,77,22,118,475,95,341,109,103,131,11,388,23,33,12,8
Animal33-BE8-Test_OFA,sleep,328,207,138,147,79,28,2,83,210,95,150,77,56,89,9,140,7,9,5,5
SSD-10-BE1,sleep_deprivation,736,525,200,211,140,120,17,68,280,113,331,173,283,291,53,246,58,47,20,24
SSD-01-RD1,sleep_deprivation,627,478,138,116,85,102,3,45,254,119,251,338,493,NaN,NaN,204,15,28,22,20
SSD-02-BL2,sleep_deprivation,810,529,316,200,154,79,5,111,499,156,454,230,457,NaN,NaN,369,64,60,24,2
SSD-03-BE1,sleep_deprivation,618,454,119,138,73,57,9,109,236,100,331,151,191,81,4,144,49,34,8,13
SSD-04-GN1,sleep_deprivation,762,496,191,137,78,57,4,30,201,100,360,164,273,57,19,211,15,31,15,10
SSD-05-RD1,sleep_deprivation,706,379,217,241,92,89,24,52,317,172,374,387,437,100,25,233,30,58,13,14
SSD-06-BE1,sleep_deprivation,751,382,204,207,119,85,8,63,286,142,422,165,300,134,36,149,65,54,23,17
SSD-07-BE1,sleep_deprivation,848,423,373,212,153,162,18,31,407,109,410,119,235,457,132,253,59,46,29,21
SSD-08-GN1,sleep_deprivation,598,491,220,173,98,82,5,48,406,74,516,158,323,192,46,206,58,73,33,22
SSD-09-RD1,sleep_deprivation,684,451,171,280,32,52,1,72,373,102,485,156,305,131,48,203,39,62,19,16
